experimentPhase	block	condition	trialnum	subject	task	noisePercent	leftStreamFlip	rightStreamFlip	leftRight	targetSP	answer0	response0	correct0	SPE	word1_0	word1_1	word1_2	word1_3	word1_4	word1_5	word1_6	word1_7	word1_8	word1_9	word1_10	word1_11	word1_12	word1_13	word1_14	word1_15	word1_16	word1_17	Seq1_0	Seq1_1	Seq1_2	Seq1_3	Seq1_4	Seq1_5	Seq1_6	Seq1_7	Seq1_8	Seq1_9	Seq1_10	Seq1_11	Seq1_12	Seq1_13	Seq1_14	Seq1_15	Seq1_16	Seq1_17	word2_0	word2_1	word2_2	word2_3	word2_4	word2_5	word2_6	word2_7	word2_8	word2_9	word2_10	word2_11	word2_12	word2_13	word2_14	word2_15	word2_16	word2_17	Seq2_0	Seq2_1	Seq2_2	Seq2_3	Seq2_4	Seq2_5	Seq2_6	Seq2_7	Seq2_8	Seq2_9	Seq2_10	Seq2_11	Seq2_12	Seq2_13	Seq2_14	Seq2_15	Seq2_16	Seq2_17	timingBlips	file	SOA	letterdurDesired	letterDurFrames	letterdur
main	1	0	12	MBL	T1	0	False	False	FALSE	10	E	E	1	0	d	k	b	c	f	n	h	t	s	g	m	a	e	y	p	w	l	z	13	2	7	10	4	16	9	15	8	5	12	6	3	1	17	0	14	11	d	k	b	c	f	n	h	t	s	g	m	a	e	y	p	w	l	z	4	5	8	10	1	15	3	17	12	9	11	2	6	7	16	0	13	14	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	13	MBL	T1	0	False	False	TRUE	7	E	O	0	3	l	i	d	n	s	j	p	r	g	o	b	f	t	z	h	a	e	q	8	6	2	14	10	1	4	3	5	16	0	15	13	11	12	9	17	7	l	i	d	n	s	j	p	r	g	o	b	f	t	z	h	a	e	q	17	15	1	8	4	0	5	16	6	7	9	11	10	12	3	14	13	2	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	14	MBL	T1	0	False	False	TRUE	11	Z	Z	1	0	n	j	d	k	q	i	a	m	g	x	z	e	y	c	t	s	p	b	5	2	4	11	9	15	17	14	10	1	16	13	3	8	12	0	7	6	n	j	d	k	q	i	a	m	g	x	z	e	y	c	t	s	p	b	17	1	14	13	16	15	4	0	2	9	7	10	12	6	8	5	11	3	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	15	MBL	T1	0	False	False	TRUE	8	G	R	0	-1	s	j	c	q	g	o	b	r	a	y	z	f	d	l	e	x	k	u	5	11	0	8	7	12	1	10	2	16	14	15	3	6	4	17	13	9	s	j	c	q	g	o	b	r	a	y	z	f	d	l	e	x	k	u	11	17	1	16	5	10	6	7	4	13	8	2	3	15	12	0	14	9	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	16	MBL	T1	0	False	False	FALSE	7	D	D	1	0	v	c	d	a	u	b	s	t	i	e	o	n	z	q	r	h	w	j	6	11	5	17	13	10	12	2	0	16	4	1	8	14	15	3	9	7	v	c	d	a	u	b	s	t	i	e	o	n	z	q	r	h	w	j	0	13	12	2	9	4	17	6	5	16	8	7	3	11	15	1	10	14	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	17	MBL	T1	0	False	False	FALSE	10	X	X	1	0	u	y	a	l	o	r	i	m	f	d	g	s	e	x	b	k	w	q	15	10	17	5	9	8	14	16	3	11	13	4	0	2	7	6	12	1	u	y	a	l	o	r	i	m	f	d	g	s	e	x	b	k	w	q	9	7	17	0	15	4	14	10	8	3	16	11	13	1	2	6	12	5	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	18	MBL	T1	0	False	False	TRUE	9	Z	A	0	10	q	s	w	d	t	c	n	h	z	o	v	m	i	e	y	p	r	g	15	17	14	9	5	11	7	3	12	8	2	10	4	0	16	6	13	1	q	s	w	d	t	c	n	h	z	o	v	m	i	e	y	p	r	g	17	10	13	6	12	16	7	15	4	8	3	1	11	0	2	5	14	9	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	19	MBL	T1	0	False	False	TRUE	6	Z	Z	1	0	g	f	y	k	w	q	c	z	h	n	b	d	s	j	p	u	i	e	10	16	14	7	5	8	11	6	12	0	3	13	15	2	1	4	17	9	g	f	y	k	w	q	c	z	h	n	b	d	s	j	p	u	i	e	14	4	3	6	12	10	7	15	5	0	16	8	13	11	9	1	2	17	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	20	MBL	T1	0	False	False	TRUE	5	R	R	1	0	o	w	g	d	f	c	k	j	y	n	z	r	v	a	e	p	l	i	14	5	6	16	11	12	2	8	7	1	10	3	4	0	9	13	17	15	o	w	g	d	f	c	k	j	y	n	z	r	v	a	e	p	l	i	7	6	16	4	14	11	3	12	5	1	17	8	10	9	0	13	15	2	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	21	MBL	T1	0	False	False	FALSE	6	K	K	1	0	a	s	c	k	u	d	m	f	y	r	e	j	b	o	v	x	t	w	2	9	4	1	17	6	3	7	15	10	11	13	12	5	14	16	8	0	a	s	c	k	u	d	m	f	y	r	e	j	b	o	v	x	t	w	3	8	2	9	15	12	11	17	4	7	1	14	10	16	6	13	5	0	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	22	MBL	T1	0	False	False	TRUE	12	G	U	0	-2	j	b	s	u	q	z	w	x	h	l	m	v	g	i	c	f	y	t	15	2	11	5	10	7	14	17	3	0	16	13	8	12	6	1	4	9	j	b	s	u	q	z	w	x	h	l	m	v	g	i	c	f	y	t	14	8	5	4	16	6	13	11	10	0	3	17	12	9	15	2	7	1	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	23	MBL	T1	0	False	False	FALSE	9	S	S	1	0	f	q	l	k	b	n	c	a	i	h	y	u	j	m	d	w	s	t	7	11	9	1	0	14	12	2	3	16	6	10	15	4	13	17	5	8	f	q	l	k	b	n	c	a	i	h	y	u	j	m	d	w	s	t	1	13	6	15	7	10	4	17	5	9	12	8	11	16	0	2	14	3	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	24	MBL	T1	0	False	False	TRUE	10	V	V	1	0	v	m	g	s	f	o	d	j	a	u	z	q	r	y	b	n	k	c	14	13	0	16	10	2	17	5	3	8	15	6	4	12	1	7	9	11	v	m	g	s	f	o	d	j	a	u	z	q	r	y	b	n	k	c	1	13	16	17	3	11	4	7	5	15	0	8	2	9	12	6	14	10	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	25	MBL	T1	0	False	False	FALSE	5	A	A	1	0	k	d	f	j	x	y	o	v	i	z	b	s	c	m	a	r	g	w	6	7	1	0	3	14	11	15	9	5	13	4	17	2	16	10	8	12	k	d	f	j	x	y	o	v	i	z	b	s	c	m	a	r	g	w	15	10	9	14	16	11	7	8	12	17	4	2	1	5	0	13	6	3	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	26	MBL	T1	0	False	False	TRUE	12	C	O	0	-7	q	j	e	m	n	f	c	i	g	s	x	h	o	t	p	k	b	v	16	12	1	11	0	17	4	13	9	7	8	3	2	6	14	10	15	5	q	j	e	m	n	f	c	i	g	s	x	h	o	t	p	k	b	v	0	1	14	13	5	12	16	3	11	9	17	8	6	2	15	4	10	7	1	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	27	MBL	T1	0	False	False	TRUE	7	K	K	1	0	r	j	b	z	m	g	s	u	a	w	e	y	k	q	d	o	x	t	10	6	16	17	5	2	3	11	0	9	14	1	8	12	13	4	15	7	r	j	b	z	m	g	s	u	a	w	e	y	k	q	d	o	x	t	17	16	15	14	6	9	7	12	8	10	13	1	0	2	4	5	11	3	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	28	MBL	T1	0	False	False	FALSE	9	T	T	1	0	s	p	x	j	o	e	b	h	i	n	t	g	v	m	f	r	k	d	3	2	1	8	13	7	5	0	9	10	16	11	4	14	15	12	6	17	s	p	x	j	o	e	b	h	i	n	t	g	v	m	f	r	k	d	14	2	6	1	11	3	0	4	5	9	7	16	15	10	8	17	13	12	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	29	MBL	T1	0	False	False	FALSE	6	M	M	1	0	a	d	k	r	g	i	z	c	m	u	v	q	e	n	t	y	w	b	17	15	11	6	7	3	8	10	5	13	1	2	12	16	4	9	0	14	a	d	k	r	g	i	z	c	m	u	v	q	e	n	t	y	w	b	7	13	16	6	17	10	12	4	8	14	9	0	1	2	11	3	15	5	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	30	MBL	T1	0	False	False	TRUE	10	T	J	0	-6	x	o	m	b	g	h	j	y	w	k	r	i	v	d	f	t	q	l	8	11	7	3	12	17	4	6	9	15	1	0	14	2	10	16	5	13	x	o	m	b	g	h	j	y	w	k	r	i	v	d	f	t	q	l	14	3	7	13	6	0	4	17	2	9	15	11	5	8	16	10	1	12	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	31	MBL	T1	0	False	False	FALSE	9	S	S	1	0	g	n	a	t	f	d	y	q	c	l	u	b	s	i	m	w	o	e	1	16	6	8	2	11	13	4	10	12	9	14	5	17	0	7	3	15	g	n	a	t	f	d	y	q	c	l	u	b	s	i	m	w	o	e	9	7	1	2	0	13	3	15	16	17	11	5	4	6	14	8	12	10	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	32	MBL	T1	0	False	False	FALSE	11	T	T	1	0	i	g	c	p	s	z	m	t	o	n	q	l	w	k	r	u	v	e	17	11	8	15	4	10	1	12	6	14	9	7	5	13	2	3	0	16	i	g	c	p	s	z	m	t	o	n	q	l	w	k	r	u	v	e	16	13	0	1	2	5	12	14	11	9	7	8	6	15	4	17	10	3	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	33	MBL	T1	0	False	False	FALSE	12	W	W	1	0	x	m	p	g	z	a	v	f	u	j	o	y	e	q	t	w	h	d	16	1	17	0	7	3	4	6	11	13	2	8	15	12	9	10	5	14	x	m	p	g	z	a	v	f	u	j	o	y	e	q	t	w	h	d	10	0	8	1	13	4	12	9	15	6	2	11	3	5	16	7	14	17	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	34	MBL	T1	0	False	False	TRUE	9	X	X	1	0	p	q	i	s	z	u	e	w	m	f	c	r	l	h	t	k	g	x	3	6	12	5	9	8	4	13	11	1	2	14	7	0	15	17	16	10	p	q	i	s	z	u	e	w	m	f	c	r	l	h	t	k	g	x	5	7	4	3	8	15	12	16	9	17	14	11	1	13	2	10	0	6	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	35	MBL	T1	0	False	False	TRUE	9	F	T	0	-4	n	a	w	e	v	g	b	z	c	f	o	q	k	m	u	h	y	j	6	17	11	2	16	7	10	14	0	5	13	1	3	12	4	8	9	15	n	a	w	e	v	g	b	z	c	f	o	q	k	m	u	h	y	j	10	12	11	7	8	13	14	1	6	9	3	17	4	2	5	16	15	0	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	36	MBL	T1	0	False	False	TRUE	10	W	W	1	0	w	h	p	c	v	t	r	m	x	a	d	k	l	s	e	f	n	o	4	13	14	15	6	11	8	7	17	16	1	9	12	0	3	5	10	2	w	h	p	c	v	t	r	m	x	a	d	k	l	s	e	f	n	o	13	15	4	16	8	1	12	7	5	3	0	14	17	2	6	10	9	11	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	37	MBL	T1	0	False	False	FALSE	10	Q	Q	1	0	q	e	l	d	n	x	g	t	u	f	p	k	b	o	j	v	s	z	9	3	15	13	2	14	5	1	8	4	0	12	7	16	17	11	6	10	q	e	l	d	n	x	g	t	u	f	p	k	b	o	j	v	s	z	15	7	4	3	1	12	10	5	0	13	9	14	17	16	11	6	8	2	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	38	MBL	T1	0	False	False	FALSE	11	C	C	1	0	r	f	y	v	x	e	p	b	h	a	j	c	s	l	o	u	z	k	2	3	1	15	9	10	5	14	7	8	12	11	13	6	0	16	17	4	r	f	y	v	x	e	p	b	h	a	j	c	s	l	o	u	z	k	0	11	5	17	12	16	14	7	3	2	8	13	1	4	6	9	15	10	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	39	MBL	T1	0	False	False	TRUE	12	H	N	0	6	c	p	o	i	u	q	f	m	b	t	w	h	j	y	a	z	e	g	6	17	2	7	8	0	10	1	12	15	3	16	5	13	14	9	11	4	c	p	o	i	u	q	f	m	b	t	w	h	j	y	a	z	e	g	13	4	16	10	3	5	0	17	15	14	9	6	11	1	12	8	7	2	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	40	MBL	T1	0	False	False	TRUE	10	L	L	1	0	d	f	e	m	q	s	p	v	u	r	k	l	y	w	b	c	t	z	8	17	12	4	2	13	14	1	6	5	7	3	11	10	15	0	16	9	d	f	e	m	q	s	p	v	u	r	k	l	y	w	b	c	t	z	17	2	15	0	4	7	9	1	10	3	11	5	6	8	13	14	16	12	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	41	MBL	T1	0	False	False	TRUE	9	K	K	1	0	x	y	w	g	n	b	r	o	q	p	k	f	c	e	d	z	u	i	6	14	1	16	12	10	5	2	3	17	4	7	13	11	8	15	9	0	x	y	w	g	n	b	r	o	q	p	k	f	c	e	d	z	u	i	11	2	6	5	0	17	15	4	13	10	3	7	9	1	14	8	16	12	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	42	MBL	T1	0	False	False	FALSE	12	C	C	1	0	r	e	h	m	d	c	y	b	i	j	g	u	x	z	s	w	v	p	0	12	2	1	7	11	14	16	13	9	6	10	5	15	8	4	17	3	r	e	h	m	d	c	y	b	i	j	g	u	x	z	s	w	v	p	15	6	5	12	0	10	3	9	8	2	11	14	16	1	4	17	7	13	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	43	MBL	T1	0	False	False	TRUE	6	X	X	1	0	l	w	q	h	f	s	r	u	z	p	v	m	o	g	a	x	e	y	9	15	0	16	2	8	14	5	11	17	4	3	1	13	10	12	6	7	l	w	q	h	f	s	r	u	z	p	v	m	o	g	a	x	e	y	3	1	2	10	8	7	15	12	14	16	4	5	6	17	0	13	11	9	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	44	MBL	T1	0	False	False	FALSE	12	K	K	1	0	r	h	v	y	x	g	z	j	k	p	o	d	t	f	q	c	b	e	11	3	5	1	17	7	16	14	2	12	10	15	8	6	9	0	4	13	r	h	v	y	x	g	z	j	k	p	o	d	t	f	q	c	b	e	9	14	11	8	5	12	0	4	6	3	7	13	1	17	16	10	15	2	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	45	MBL	T1	0	False	False	FALSE	5	T	T	1	0	v	i	q	f	w	r	x	n	o	e	t	d	s	b	y	p	l	z	2	4	15	8	14	10	16	17	13	5	7	0	1	3	12	9	11	6	v	i	q	f	w	r	x	n	o	e	t	d	s	b	y	p	l	z	15	11	6	14	17	7	2	13	8	16	9	1	5	4	0	10	3	12	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	46	MBL	T1	0	False	False	TRUE	7	Z	N	0	4	r	t	q	f	x	i	u	n	d	s	h	j	p	z	g	a	l	m	8	14	5	6	2	1	0	4	9	3	10	11	13	12	16	15	7	17	r	t	q	f	x	i	u	n	d	s	h	j	p	z	g	a	l	m	4	10	5	11	14	6	9	13	17	12	3	7	1	0	8	15	16	2	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	47	MBL	T1	0	False	False	TRUE	11	W	W	1	0	u	j	v	w	z	r	o	n	l	p	q	c	x	a	m	h	y	b	7	17	4	5	14	6	16	0	1	10	13	2	8	11	3	15	12	9	u	j	v	w	z	r	o	n	l	p	q	c	x	a	m	h	y	b	14	12	11	4	17	8	0	6	10	1	9	3	7	2	15	13	16	5	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	48	MBL	T1	0	False	False	FALSE	12	R	R	1	0	i	h	d	w	f	a	c	y	t	p	n	b	m	o	z	k	r	j	10	8	13	12	9	0	3	7	14	1	4	6	16	2	5	17	15	11	i	h	d	w	f	a	c	y	t	p	n	b	m	o	z	k	r	j	1	8	15	13	14	17	5	12	11	9	16	4	2	0	7	6	10	3	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	49	MBL	T1	0	False	False	TRUE	5	P	Z	0	1	i	k	e	z	y	s	g	x	h	d	v	p	j	t	w	q	c	n	1	2	15	16	4	8	12	13	14	9	5	10	0	3	6	7	17	11	i	k	e	z	y	s	g	x	h	d	v	p	j	t	w	q	c	n	12	2	5	10	6	11	3	0	1	13	7	17	4	16	14	15	9	8	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	50	MBL	T1	0	False	False	TRUE	10	Q	A	0	-1	w	y	x	o	v	n	z	b	r	h	j	q	k	a	g	e	p	s	9	16	6	5	3	13	8	12	10	14	17	2	7	11	4	1	0	15	w	y	x	o	v	n	z	b	r	h	j	q	k	a	g	e	p	s	17	7	12	4	0	16	6	14	10	13	11	2	9	5	8	3	15	1	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	51	MBL	T1	0	False	False	TRUE	8	C	O	0	7	i	y	a	k	p	n	g	h	f	m	o	u	j	l	w	c	q	x	8	17	10	16	14	12	5	2	4	0	11	13	15	9	6	1	3	7	i	y	a	k	p	n	g	h	f	m	o	u	j	l	w	c	q	x	4	9	7	2	13	16	8	14	15	17	3	11	0	6	12	10	5	1	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	52	MBL	T1	0	False	False	FALSE	5	T	T	1	0	c	h	l	r	g	t	v	j	q	w	i	d	s	f	o	a	x	k	14	11	10	1	8	5	12	4	15	7	17	2	6	9	16	3	13	0	c	h	l	r	g	t	v	j	q	w	i	d	s	f	o	a	x	k	5	16	2	7	14	17	12	11	10	15	13	1	0	4	8	9	3	6	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	53	MBL	T1	0	False	False	FALSE	7	A	A	1	0	l	k	r	e	p	a	u	o	v	s	d	q	f	g	n	b	y	t	11	4	1	14	12	13	8	5	3	15	7	0	9	6	17	10	16	2	l	k	r	e	p	a	u	o	v	s	d	q	f	g	n	b	y	t	15	14	4	17	10	5	3	1	9	0	6	11	16	13	7	2	12	8	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	54	MBL	T1	0	False	False	FALSE	6	P	P	1	0	m	a	g	j	s	i	f	w	d	r	v	k	n	b	e	o	h	p	16	13	9	11	4	12	17	0	15	2	14	1	5	10	8	3	6	7	m	a	g	j	s	i	f	w	d	r	v	k	n	b	e	o	h	p	14	9	7	12	6	0	8	16	11	1	15	13	10	17	2	5	3	4	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	55	MBL	T1	0	False	False	TRUE	6	P	B	0	-4	z	k	f	a	e	i	n	d	o	b	v	h	u	r	g	y	q	p	16	4	3	17	14	11	10	1	6	2	5	15	0	8	9	13	7	12	z	k	f	a	e	i	n	d	o	b	v	h	u	r	g	y	q	p	6	15	9	16	3	7	17	1	14	5	8	12	11	2	10	13	4	0	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
main	1	0	56	MBL	T1	0	False	False	TRUE	5	X	X	1	0	f	y	a	p	r	v	b	q	n	t	c	m	e	x	k	g	i	j	2	15	4	17	11	13	14	12	9	8	3	0	6	5	1	10	7	16	f	y	a	p	r	v	b	q	n	t	c	m	e	x	k	g	i	j	7	6	3	9	16	13	0	17	5	12	10	8	15	11	1	4	2	14	0	../data/MBL/oneRing/MBL_14May2019_11-21.txt	400	250	14	233.33333333333334
